Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,Minor in Agricultural Communications and Journalism,,,,,Undergraduate,Fall 2026,,,,,,Optional,Required,,,,True,True,False,,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,,"This program focuses on written communication, preparing students for roles in media relations. [5] The undergraduate minor in agricultural communications and journalism is highly focused on written communication. [3] Students seeking to complete this minor will graduate prepared to assist with writing news releases, social media posts, photography or other media relations activities in many communication fields. [3, 4] This minor consists of 18 hours of coursework, designed to be supported by coursework in an agriculturally related field. [3] Student take courses in editing and media writing, and can choose 6 hours of upper level courses to develop a technical communication skill set ranging from public relations to visual communication to broadcast. [3]",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,,,,146 on Verbal,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Minor in Agricultural Economics,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,"The minor in Agricultural Economics is available to all students enrolled at Texas A&M University. [8, 9] Declaration of the minor is made in the student's home college or department by that advisor. [4] Students must have a 2.0 cumulative GPA or higher to declare the minor. [4] Students must make a grade of ""C"" or better in all courses for the minor. [9] The program requires 18 credit hours, including specific core courses and 6 hours of upper-level AGEC electives. [9]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,College of Agriculture & Life Sciences,,,,,,,,,"This minor equips students with fundamental knowledge of how economics contributes to business solutions for industries across agriculture. The minor in Agricultural Economics is available to all students enrolled at Texas A&M University. The primary educational objective of this minor-degree program is to provide students, majoring in other fields, with a fundamental knowledge of the fields of agricultural economics. The courses required for this minor will cover the major business elements of the agricultural industry.",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,2,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,False,
,Minor in Agricultural Leadership,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,,"For freshman applicants, Texas A&M University requires the submission of an application through either the Common App or ApplyTexas. A nonrefundable application fee of $75 is required. Applicants must also submit a required essay and complete a Self-reported Transcript and Academic Record System (STARS). [3, 16] Texas A&M is test-optional, meaning ACT or SAT scores are not required to complete an application file. [3, 5]",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Agriculture & Life Sciences,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Minor in Agricultural Systems Management,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,"The minor in Agricultural Systems Management is available to all students enrolled at Texas A&M University. [1, 2] Prerequisite courses, such as MATH 140 and MATH 142 or their equivalents, must be completed with a grade of ""C"" or better before enrolling in AGSM 301. [1] Students are required to make a grade of C or better in all courses for the minor. [4]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,Department of Biological and Agricultural Engineering,,,,,,,,,"The minor in Agricultural Systems Management is available to all students enrolled at Texas A&M University. [3, 4, 5] The primary educational objective of this minor program is to provide students, majoring in other fields, with a fundamental knowledge of the fields of agricultural systems management. [3, 4, 5] The Agricultural Systems Management minor centers on the mechanical, structural, natural resource processing, and electronic technologies used in modern agriculture, with a constant eye toward sustainability. [6] Students develop a mastery of combustion engine, fluid power systems, soil and water, building structures, irrigation systems, and food processing techniques. [6]",,https://catalog.tamu.edu/programs/,,,,FALSE,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,False,
,Minor in Agronomy,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,"To declare a minor in Agronomy, students should consult with their academic advisor. The minor application shares the same opening and closing dates as the Change of Curriculum application. [12] The coursework requirements consist of 15 total semester credit hours, including specific courses such as SCSC 105 or SCSC 205, SCSC 301, and 8 hours of SCSC 302-489 (with some exceptions). [3] A grade of C or better is required in all courses for the minor. [3, 14] Students majoring in the Department of Soil and Crop Sciences may not use courses that are already part of their degree program for the minor. [3]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,"AThe minor in Agronomy prepares agricultural majors for a career in the nation's food, feed, fiber, greenspace, shelter and bioenergy industries. Exposure to this academic discipline could lead students to the pursuit of advanced degrees and a career in the field of agronomy or several related agricultural fields. Agronomy is the cornerstone of modern agriculture that provides the necessities of human existence at a level unprecedented in human history. [4]",,https://catalog.tamu.edu/programs/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Minor in American Studies,,,,,Undergraduate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Minor in Anthropology,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Not Required,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,College of Arts and Sciences,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based, Athletic, Community service",FALSE,,,FALSE,FALSE,,,False,
,Minor in Applied Learning in Ag & Life Sciences-International,,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,"This program provides students with formal instruction in international agricultural development concepts and practical experiences through language acquisition, study/research abroad, and/or international fieldwork. The International Agricultural Development (IDAG) curriculum prepares students for successful post-baccalaureate international careers or graduate studies particularly aligned with the Graduate Certificate in International Agriculture (INAG). Students critically examine current international agriculture issues and/or topics in diversity and communications. [5]",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Minor in Arabic Studies,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,"The minor in Arabic Studies is an academic program open to all students in the university. The minor is interdisciplinary in nature and combines courses in Arabic language and culture with electives in Arabic studies, as well as a capstone project. A minor in Arabic Studies also helps to prepare students for careers in education, international development, non-profit agencies and NGOs, translating and interpreting, public relations and marketing, government service, international law, international business, engineering, and research. This minor is a valuable complement to the academic portfolio of any student majoring in the humanities, social sciences, or natural sciences, who wishes to add an international dimension to their intellectual profile. A C or better is required for a course to be counted in the minor. [4]",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Minor in Architectural Fabrication,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Not Required,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,"The minor in architectural fabrication and product design provides opportunities for creativity while learning professional tools and techniques. You will gain a broad understanding of terminology, history, prototyping and professional practices. With this minor, there are specific credit hours that allow you to develop in your design experience through design seminars. [3]",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Minor in Architectural Heritage Conservation,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Not Required,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,College of Architecture,"In-state: $12,204/year, Out-of-state: $38,855/year",,,,,,,,"An interdisciplinary and global approach is used to understand heritage conservation and its importance in the sustainable conservation of the built environment. The curriculum emphasizes an awareness of principles and theories that affect architectural heritage conservation. In addition, the minor enables students to explore technological advances critical to documenting and assessing the built environment. The Minor in Architectural Heritage Conservation can serve as a complement to several major fields of study and is open to all Texas A&M undergraduates. The structure of the minor encourages students to gain a broad understanding of the foundations of conservation before moving on to specialized areas of interest.",,https://catalog.tamu.edu/programs/,,"between $1,000 and $2,000",,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"academic achievement, financial need, extracurricular activities, leadership and community service",FALSE,,,FALSE,FALSE,,,False,
